date,tmax,tmin
2023-01-01,15.2,11.7
2023-01-02,15.1,6.2
2023-01-03,9.9,5.6
2023-01-04,13.1,9.5
2023-01-05,13.7,11.1
2023-01-06,13.0,9.6
2023-01-07,11.0,6.1
2023-01-08,10.6,8.0
2023-01-09,8.5,5.3
2023-01-10,11.6,3.8
2023-01-11,12.3,8.8
2023-01-12,11.9,9.1
2023-01-13,11.1,7.0
2023-01-14,12.6,6.8
2023-01-15,9.6,4.9
2023-01-16,6.4,1.9
2023-01-17,3.4,-1.2
2023-01-18,5.0,-2.6
2023-01-19,3.4,-2.2
2023-01-20,5.9,-2.7
2023-01-21,3.8,-1.6
2023-01-22,3.1,-1.0
2023-01-23,3.6,0.3
2023-01-24,3.5,-1.6
2023-01-25,2.4,0.7
2023-01-26,4.6,0.1
2023-01-27,4.7,3.1
2023-01-28,3.7,-1.9
2023-01-29,4.7,-3.7
2023-01-30,9.0,1.2
2023-01-31,8.3,-1.2
2023-02-01,9.7,5.9
2023-02-02,10.5,4.4
2023-02-03,10.2,6.5
2023-02-04,10.8,7.7
2023-02-05,9.4,4.0
2023-02-06,6.9,0.3
2023-02-07,6.2,-1.2
2023-02-08,6.0,-4.2
2023-02-09,6.6,-5.2
2023-02-10,9.5,-0.7
2023-02-11,8.5,-0.5
2023-02-12,9.1,5.3
2023-02-13,11.6,-1.5
2023-02-14,11.6,-0.4
2023-02-15,12.8,-1.7
2023-02-16,11.4,2.9
2023-02-17,14.9,10.7
2023-02-18,12.5,9.4
2023-02-19,11.9,4.6
2023-02-20,11.4,1.9
2023-02-21,13.5,0.2
2023-02-22,10.4,5.3
2023-02-23,10.1,5.0
2023-02-24,10.4,4.6
2023-02-25,7.9,1.4
2023-02-26,5.1,-1.2
2023-02-27,6.5,-1.6
2023-02-28,5.2,-2.5
2023-03-01,7.3,-2.5
2023-03-02,9.3,-2.5
2023-03-03,9.0,-0.7
2023-03-04,6.8,-1.8
2023-03-05,7.2,2.6
2023-03-06,7.4,1.3
