day,tmax,tmin
-45,20.6,14.3
-44,20.5,15.3
-43,19.3,12.2
-42,21.1,14.0
-41,23.3,12.5
-40,22.5,14.1
-39,20.2,10.7
-38,17.8,12.7
-37,18.5,10.1
-36,25.5,16.7
-35,28.0,16.3
-34,26.5,14.4
-33,28.8,14.6
-32,27.8,21.2
-31,32.6,19.1
-30,36.8,19.1
-29,36.3,21.8
-28,35.8,21.7
-27,36.6,21.7
-26,37.8,25.1
-25,36.8,25.1
-24,40.0,25.4
-23,40.3,27.5
-22,36.5,26.6
-21,36.6,22.1
-20,30.7,22.5
-19,28.1,17.5
-18,29.0,16.6
-17,24.6,16.3
-16,25.9,15.6
-15,28.9,16.5
-14,30.6,16.3
-13,29.2,17.4
-12,34.1,18.8
-11,34.2,22.0
-10,33.8,20.9
-9,33.7,22.4
-8,35.7,21.9
-7,36.1,22.3
-6,35.8,22.4
-5,34.9,22.5
-4,34.8,21.1
-3,32.0,23.6
-2,33.3,20.8
-1,27.4,20.2
0,29.6,18.7
